OBS_1995-2004,HR_1995-2004,CCR_2085-2094
0,0,0
6.5169,0,12.3998
0.1098,0,0.6716
0.2147,4.0752,0
0,0,0
0,0,0
0,1.1098,0
0,5.5896,8.4342
5.6697,0,10.9033
0,0,1.4228
4.5908,0,0.1858
0,0,0
0,0,0
0,1.0469,0
0,0.5614,0
0.4373,5.3476,0
5.4427,0.2412,6.0581
3.5711,0,4.4828
11.6032,4.167,0
17.8612,0.6558,0
11.6684,0,0
0,0,0
0,0,2.9476
